Team,Rim.Rank,Rim.Freq,Short.Mid.Rank,Short.Mid.Freq,Long.Mid.Rank,Long.Mid.Freq,Corner.Three.Rank,Corner.Three.Freq,Non.Corner.Rank,Non.Corner.Freq,Rim.Color,Rim.Opacity,Short.Mid.Color,Short.Mid.Opacity,Long.Mid.Color,Long.Mid.Opacity,Corner.Three.Color,Corner.Three.Opacity,Non.Corner.Color,Non.Corner.Opacity,Year,Location
Atlanta,23,30.5%,11,21.9%,8,12.2%,22,8.5%,18,27.0%,Blue,0.3,Gray,0.3,Red,0.3,Blue,0.3,Gray,0.3,2021,home
Boston,28,26.7%,3,26.0%,10,11.8%,13,9.4%,21,26.1%,Blue,0.7,Red,0.7,Red,0.3,Gray,0.3,Blue,0.3,2021,home
Brooklyn,22,30.6%,12,21.6%,4,13.9%,21,8.5%,24,25.4%,Blue,0.3,Gray,0.3,Red,0.7,Blue,0.3,Blue,0.3,2021,home
Charlotte,2,39.1%,21,17.6%,27,6.2%,5,10.6%,20,26.5%,Red,0.7,Blue,0.3,Blue,0.7,Red,0.7,Gray,0.3,2021,home
Chicago,8,35.6%,23,16.7%,1,16.6%,19,8.8%,29,22.2%,Red,0.3,Blue,0.3,Red,0.7,Gray,0.3,Blue,0.7,2021,home
Cleveland,13,33.4%,18,18.5%,22,8.6%,4,10.7%,14,28.9%,Gray,0.3,Gray,0.3,Blue,0.3,Red,0.7,Gray,0.3,2021,home
Dallas,30,24.5%,13,21.1%,9,12.1%,6,10.5%,7,31.7%,Blue,0.7,Gray,0.3,Red,0.3,Red,0.3,Red,0.3,2021,home
Denver,21,30.6%,15,19.9%,12,11.2%,15,9.1%,12,29.2%,Blue,0.3,Gray,0.3,Gray,0.3,Gray,0.3,Gray,0.3,2021,home
Detroit,15,32.0%,16,19.4%,19,9.4%,10,10.3%,13,29.0%,Gray,0.3,Gray,0.3,Gray,0.3,Red,0.3,Gray,0.3,2021,home
Golden State,25,30.2%,20,17.9%,24,6.9%,3,11.1%,2,33.9%,Blue,0.3,Gray,0.3,Blue,0.3,Red,0.7,Red,0.7,2021,home
Houston,1,40.5%,30,12.6%,29,5.7%,23,8.4%,4,32.8%,Red,0.7,Blue,0.7,Blue,0.7,Blue,0.3,Red,0.7,2021,home
Indiana,10,34.6%,22,17.1%,20,9.1%,8,10.4%,15,28.8%,Red,0.3,Blue,0.3,Gray,0.3,Red,0.3,Gray,0.3,2021,home
LA Clippers,17,31.7%,24,16.2%,7,12.8%,12,9.5%,10,29.9%,Gray,0.3,Blue,0.3,Red,0.3,Gray,0.3,Red,0.3,2021,home
LA Lakers,3,36.9%,28,13.6%,2,15.5%,28,7.3%,19,26.7%,Red,0.7,Blue,0.7,Red,0.7,Blue,0.7,Gray,0.3,2021,home
Memphis,9,35.3%,4,24.6%,28,5.7%,11,10.0%,26,24.3%,Red,0.3,Red,0.7,Blue,0.7,Gray,0.3,Blue,0.7,2021,home
Miami,26,29.6%,8,23.3%,11,11.3%,2,13.0%,28,22.8%,Blue,0.7,Red,0.3,Gray,0.3,Red,0.7,Blue,0.7,2021,home
Milwaukee,18,31.6%,25,15.5%,16,10.4%,7,10.4%,5,32.1%,Gray,0.3,Blue,0.3,Gray,0.3,Red,0.3,Red,0.7,2021,home
Minnesota,7,36.0%,29,12.8%,26,6.3%,9,10.3%,1,34.6%,Red,0.3,Blue,0.7,Blue,0.7,Red,0.3,Red,0.7,2021,home
New Orleans,5,36.3%,19,17.9%,5,13.5%,29,7.3%,25,25.0%,Red,0.7,Gray,0.3,Red,0.7,Blue,0.7,Blue,0.3,2021,home
New York,11,34.3%,26,14.9%,17,10.3%,18,8.9%,8,31.6%,Gray,0.3,Blue,0.7,Gray,0.3,Gray,0.3,Red,0.3,2021,home
Oklahoma City,4,36.8%,17,19.3%,25,6.4%,25,7.8%,11,29.7%,Red,0.7,Gray,0.3,Blue,0.3,Blue,0.3,Gray,0.3,2021,home
